Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request Date,Request Day,Trip Duration (mins),Is Driver Assigned,Was Completed,Pickup_Airport,Request Period
619,Airport,1,Trip Completed,07-11-2016 11:51,07-11-2016 13:00,07-11-2016,Monday,69,Yes,Yes,1,Morning
867,Airport,1,Trip Completed,07-11-2016 17:57,07-11-2016 18:47,07-11-2016,Monday,50,Yes,Yes,1,Evening
1807,City,1,Trip Completed,07-12-2016 09:17,07-12-2016 09:58,07-12-2016,Wednesday,41,Yes,Yes,0,Morning
2532,Airport,1,Trip Completed,07-12-2016 21:08,07-12-2016 22:03,07-12-2016,Wednesday,55,Yes,Yes,1,Night
3112,City,1,Trip Completed,13-07-2016 08:33,13-07-2016 09:25,13-07-2016,Wednesday,52.51666667,Yes,Yes,0,Morning
3879,Airport,1,Trip Completed,13-07-2016 21:57,13-07-2016 22:28,13-07-2016,Wednesday,31.51666667,Yes,Yes,1,Night
4270,Airport,1,Trip Completed,14-07-2016 06:15,14-07-2016 07:13,14-07-2016,Thursday,57.71666667,Yes,Yes,1,Morning
5510,Airport,1,Trip Completed,15-07-2016 05:11,15-07-2016 06:07,15-07-2016,Friday,56,Yes,Yes,1,Morning
6248,City,1,Trip Completed,15-07-2016 17:57,15-07-2016 18:50,15-07-2016,Friday,53.4,Yes,Yes,0,Evening
267,City,2,Trip Completed,07-11-2016 06:46,07-11-2016 07:25,07-11-2016,Monday,39,Yes,Yes,0,Morning
1467,Airport,2,Trip Completed,07-12-2016 05:08,07-12-2016 06:02,07-12-2016,Wednesday,54,Yes,Yes,1,Morning
1983,City,2,Trip Completed,07-12-2016 12:30,07-12-2016 12:57,07-12-2016,Wednesday,27,Yes,Yes,0,Afternoon
2784,Airport,2,Trip Completed,13-07-2016 04:49,13-07-2016 05:23,13-07-2016,Wednesday,33.71666667,Yes,Yes,1,Night
3075,City,2,Trip Completed,13-07-2016 08:02,13-07-2016 09:16,13-07-2016,Wednesday,73.43333333,Yes,Yes,0,Morning
3379,City,2,Trip Completed,13-07-2016 14:23,13-07-2016 15:35,13-07-2016,Wednesday,72.26666667,Yes,Yes,0,Afternoon
3482,Airport,2,Trip Completed,13-07-2016 17:23,13-07-2016 18:20,13-07-2016,Wednesday,57.55,Yes,Yes,1,Evening
4652,City,2,Trip Completed,14-07-2016 12:01,14-07-2016 12:36,14-07-2016,Thursday,35.73333333,Yes,Yes,0,Afternoon
5335,Airport,2,Trip Completed,14-07-2016 22:24,14-07-2016 23:18,14-07-2016,Thursday,54.65,Yes,Yes,1,Night
535,Airport,3,Trip Completed,07-11-2016 10:00,07-11-2016 10:31,07-11-2016,Monday,31,Yes,Yes,1,Morning
960,Airport,3,Trip Completed,07-11-2016 18:45,07-11-2016 19:23,07-11-2016,Monday,38,Yes,Yes,1,Evening
1934,Airport,3,Trip Completed,07-12-2016 11:17,07-12-2016 12:23,07-12-2016,Wednesday,66,Yes,Yes,1,Morning
2083,Airport,3,Trip Completed,07-12-2016 15:46,07-12-2016 16:40,07-12-2016,Wednesday,54,Yes,Yes,1,Afternoon
2211,Airport,3,Trip Completed,07-12-2016 18:00,07-12-2016 18:28,07-12-2016,Wednesday,28,Yes,Yes,1,Evening
3096,Airport,3,Trip Completed,13-07-2016 08:17,13-07-2016 09:22,13-07-2016,Wednesday,65.13333333,Yes,Yes,1,Morning
3881,Airport,3,Trip Completed,13-07-2016 21:54,13-07-2016 22:51,13-07-2016,Wednesday,57.08333333,Yes,Yes,1,Night
5254,City,3,Trip Completed,14-07-2016 21:23,14-07-2016 22:25,14-07-2016,Thursday,62.26666667,Yes,Yes,0,Night
5434,City,3,Trip Completed,15-07-2016 02:41,15-07-2016 03:24,15-07-2016,Friday,43.08333333,Yes,Yes,0,Night
5916,City,3,Trip Completed,15-07-2016 10:00,15-07-2016 10:53,15-07-2016,Friday,52.38333333,Yes,Yes,0,Morning
669,City,4,Trip Completed,07-11-2016 13:08,07-11-2016 13:49,07-11-2016,Monday,41,Yes,Yes,0,Afternoon
1567,Airport,4,Trip Completed,07-12-2016 06:21,07-12-2016 07:10,07-12-2016,Wednesday,49,Yes,Yes,1,Morning
1826,City,4,Trip Completed,07-12-2016 09:27,07-12-2016 10:27,07-12-2016,Wednesday,60,Yes,Yes,0,Morning
2102,City,4,Trip Completed,07-12-2016 16:09,07-12-2016 17:01,07-12-2016,Wednesday,52,Yes,Yes,0,Afternoon
2847,Airport,4,Trip Completed,13-07-2016 05:34,13-07-2016 06:09,13-07-2016,Wednesday,35.65,Yes,Yes,1,Morning
3722,Airport,4,Trip Completed,13-07-2016 19:57,13-07-2016 20:32,13-07-2016,Wednesday,34.08333333,Yes,Yes,1,Evening
4075,City,4,Trip Completed,14-07-2016 02:17,14-07-2016 03:21,14-07-2016,Thursday,64.05,Yes,Yes,0,Night
4686,City,4,Trip Completed,14-07-2016 13:01,14-07-2016 13:45,14-07-2016,Thursday,44.3,Yes,Yes,0,Afternoon
5771,Airport,4,Trip Completed,15-07-2016 08:30,15-07-2016 09:37,15-07-2016,Friday,67.23333333,Yes,Yes,1,Morning
6106,Airport,4,Trip Completed,15-07-2016 15:01,15-07-2016 15:47,15-07-2016,Friday,46.18333333,Yes,Yes,1,Afternoon
312,City,5,Trip Completed,07-11-2016 07:27,07-11-2016 08:31,07-11-2016,Monday,64,Yes,Yes,0,Morning
577,Airport,5,Trip Completed,07-11-2016 11:03,07-11-2016 12:01,07-11-2016,Monday,58,Yes,Yes,1,Morning
1179,City,5,Trip Completed,07-11-2016 20:58,07-11-2016 21:45,07-11-2016,Monday,47,Yes,Yes,0,Evening
1756,Airport,5,Trip Completed,07-12-2016 08:40,07-12-2016 09:23,07-12-2016,Wednesday,43,Yes,Yes,1,Morning
2052,City,5,Trip Completed,07-12-2016 14:48,07-12-2016 15:50,07-12-2016,Wednesday,62,Yes,Yes,0,Afternoon
2559,City,5,Trip Completed,07-12-2016 21:32,07-12-2016 22:29,07-12-2016,Wednesday,57,Yes,Yes,0,Night
3014,City,5,Trip Completed,13-07-2016 07:28,13-07-2016 08:29,13-07-2016,Wednesday,61.55,Yes,Yes,0,Morning
3317,City,5,Trip Completed,13-07-2016 12:14,13-07-2016 12:46,13-07-2016,Wednesday,32.18333333,Yes,Yes,0,Afternoon
4297,City,5,Trip Completed,14-07-2016 06:43,14-07-2016 07:49,14-07-2016,Thursday,66.61666667,Yes,Yes,0,Morning
5857,Airport,5,Trip Completed,15-07-2016 09:08,15-07-2016 10:07,15-07-2016,Friday,58.28333333,Yes,Yes,1,Morning
6690,Airport,5,Trip Completed,15-07-2016 22:41,15-07-2016 23:51,15-07-2016,Friday,69.31666667,Yes,Yes,1,Night
1517,Airport,6,Trip Completed,07-12-2016 05:45,07-12-2016 06:28,07-12-2016,Wednesday,43,Yes,Yes,1,Morning
1999,Airport,6,Trip Completed,07-12-2016 13:02,07-12-2016 13:51,07-12-2016,Wednesday,49,Yes,Yes,1,Afternoon
